role,stage,details
AR/VR Developer,Learn,AR/VR
AR/VR Developer,Specialize,Immersive Apps

IoT Engineer,Basics,Embedded Systems
IoT Engineer,Tools,Arduino
IoT Engineer,Learn,Sensors|Connectivity
IoT Engineer,Specialize,Smart Devices

Ethical Hacker,Basics,Networking
Ethical Hacker,Tools,Kali Linux
Ethical Hacker,Learn,Penetration Testing
Ethical Hacker,Specialize,Security

Site Reliability Engineer,Basics,Systems|DevOps
Site Reliability Engineer,Tools,Kubernetes
Site Reliability Engineer,Learn,Monitoring
Site Reliability Engineer,Specialize,Reliability

Game Developer,Basics,Programming
Game Developer,Tools,Unity
Game Developer,Learn,Game Design
Game Developer,Specialize,2D|3D Games

Product Manager,Basics,Business|Tech
Product Manager,Tools,Jira
Product Manager,Learn,Product Lifecycle
Product Manager,Specialize,Strategy

Project Manager,Basics,Planning
Project Manager,Tools,Agile Tools
Project Manager,Learn,Scrum
Project Manager,Specialize,Delivery

Marketing Specialist,Basics,Marketing
Marketing Specialist,Tools,Ads Platforms
Marketing Specialist,Learn,Campaigns
Marketing Specialist,Specialize,Branding

Digital Marketing Specialist,Basics,Online Marketing
Digital Marketing Specialist,Tools,Google Ads
Digital Marketing Specialist,Learn,SEO|SEM
Digital Marketing Specialist,Specialize,Digital Campaigns

SEO Specialist,Basics,SEO
SEO Specialist,Tools,Ahrefs
SEO Specialist,Learn,Ranking Techniques
SEO Specialist,Specialize,Optimization

Content Writer,Basics,Writing
Content Writer,Tools,Medium
Content Writer,Learn,Storytelling
Content Writer,Specialize,Blogs

Copywriter,Basics,Persuasion
Copywriter,Tools,Ads
Copywriter,Learn,Sales Writing
Copywriter,Specialize,Marketing Copy

Business Analyst,Basics,Business|Data
Business Analyst,Tools,Excel
Business Analyst,Learn,Analysis
Business Analyst,Specialize,Insights

Operations Manager,Basics,Operations
Operations Manager,Tools,ERP
Operations Manager,Learn,Workflow
Operations Manager,Specialize,Efficiency

Sales Executive,Basics,Communication
Sales Executive,Tools,CRM
Sales Executive,Learn,Sales Techniques
Sales Executive,Specialize,Closing Deals

Technical Writer,Basics,Writing|Tech
Technical Writer,Tools,Markdown
Technical Writer,Learn,Documentation
Technical Writer,Specialize,Manuals

Market Research Analyst,Basics,Research
Market Research Analyst,Tools,Surveys
Market Research Analyst,Learn,Data Analysis
Market Research Analyst,Specialize,Market Trends

Graphic Designer,Basics,Design Principles
Graphic Designer,Tools,Photoshop
Graphic Designer,Learn,Visual Design
Graphic Designer,Specialize,Graphics
